FILE: Source/lv8/103f_cal.llb

DECIMAL       HEXADECIMAL     DESCRIPTION
1825296       0x1BDA10        Zlib compressed data, default compression
1827004       0x1BE0BC        Zlib compressed data, default compression
1829088       0x1BE8E0        Zlib compressed data, default compression
1829456       0x1BEA50        Zlib compressed data, default compression
1830808       0x1BEF98        Zlib compressed data, default compression
1832220       0x1BF51C        Zlib compressed data, default compression
1834792       0x1BFF28        Zlib compressed data, default compression
1836928       0x1C0780        Zlib compressed data, default compression
1837284       0x1C08E4        Zlib compressed data, default compression
1838184       0x1C0C68        Zlib compressed data, default compression
1840156       0x1C141C        Zlib compressed data, default compression
1846364       0x1C2C5C        Zlib compressed data, default compression
1849040       0x1C36D0        Zlib compressed data, default compression
1849408       0x1C3840        Zlib compressed data, default compression
1850308       0x1C3BC4        Zlib compressed data, default compression
1852412       0x1C43FC        Zlib compressed data, default compression
1858172       0x1C5A7C        Zlib compressed data, default compression
1860848       0x1C64F0        Zlib compressed data, default compression
1861308       0x1C66BC        Zlib compressed data, default compression
1862456       0x1C6B38        Zlib compressed data, default compression
1864936       0x1C74E8        Zlib compressed data, default compression
1871300       0x1C8DC4        Zlib compressed data, default compression
1874164       0x1C98F4        Zlib compressed data, default compression
1874568       0x1C9A88        Zlib compressed data, default compression
1875468       0x1C9E0C        Zlib compressed data, default compression
1877904       0x1CA790        PNG image, 32 x 32, 8-bit colormap, non-interlaced
1878725       0x1CAAC5        Zlib compressed data, default compression
1878880       0x1CAB60        Zlib compressed data, default compression
1885516       0x1CC54C        Zlib compressed data, default compression
1888368       0x1CD070        Zlib compressed data, default compression
1888880       0x1CD270        Zlib compressed data, default compression
1890032       0x1CD6F0        Zlib compressed data, default compression
1892492       0x1CE08C        Zlib compressed data, default compression
1900716       0x1D00AC        Zlib compressed data, default compression
1903628       0x1D0C0C        Zlib compressed data, default compression
1903996       0x1D0D7C        Zlib compressed data, default compression
1905148       0x1D11FC        Zlib compressed data, default compression
1907284       0x1D1A54        Zlib compressed data, default compression
1913200       0x1D3170        Zlib compressed data, default compression
1916312       0x1D3D98        Zlib compressed data, default compression
1917572       0x1D4284        Zlib compressed data, default compression
1922232       0x1D54B8        Zlib compressed data, default compression
1925160       0x1D6028        Zlib compressed data, default compression
1929868       0x1D728C        Zlib compressed data, default compression
1933332       0x1D8014        Zlib compressed data, default compression
1934684       0x1D855C        Zlib compressed data, default compression
1941604       0x1DA064        Zlib compressed data, default compression
1942952       0x1DA5A8        Zlib compressed data, default compression
1949872       0x1DC0B0        Zlib compressed data, default compression
1954284       0x1DD1EC        Zlib compressed data, default compression
1957036       0x1DDCAC        Zlib compressed data, default compression
1968332       0x1E08CC        Zlib compressed data, default compression
1971320       0x1E1478        Zlib compressed data, default compression
1981280       0x1E3B60        Zlib compressed data, default compression
1986856       0x1E5128        Zlib compressed data, default compression
1989928       0x1E5D28        Zlib compressed data, default compression
2003168       0x1E90E0        Zlib compressed data, default compression
2006208       0x1E9CC0        Zlib compressed data, default compression
2018396       0x1ECC5C        Zlib compressed data, default compression
2022620       0x1EDCDC        Zlib compressed data, default compression
2023576       0x1EE098        Zlib compressed data, default compression
2024472       0x1EE418        Zlib compressed data, default compression
2029776       0x1EF8D0        Zlib compressed data, default compression
2044264       0x1F3168        Zlib compressed data, default compression

