jump_site	mnemonic	target	ops
0x14878	sjmp	0x14836	0x14836
0x1487C	sjmp	0x14836	0x14836
0x14880	sjmp	0x14838	0x14838
0x14884	sjmp	0x14836	0x14836
0x1488B	jb	0x00027	0x27.3, 0x14895                      ; [0x27:1]=0
0x14890	cjne	0x00019	a, 0x19, 0x14893                     ; [0x19:1]=0
0x14893	jc	0x14886	0x14886
0x1489C	ljmp	0x14805	0x14805
0x148A3	sjmp	0x14836	0x14836
0x148B3	jnz	0x148BB	0x148bb
0x148BB	jb	0x00027	0x27.3, 0x148f1                      ; [0x27:1]=0
0x148C0	jz	0x148F1	0x148f1
0x148C4	cjne	0x00000	r7, #0x00, 0x148c8
0x148D2	jz	0x148D9	0x148d9
0x148D7	jnz	0x148CA	0x148ca
0x148F5	jz	0x1489C	0x1489c
0x14912	jz	0x148F1	0x148f1
0x14914	djnz	0x0001A	0x1a, 0x148f1                        ; [0x1a:1]=0
0x14917	sjmp	0x1489C	0x1489c
0x1491B	sjmp	0x148BB	0x148bb
0x14920	jz	0x14919	0x14919
0x14929	jz	0x14936	0x14936
0x14931	jnz	0x14936	0x14936
0x14933	djnz	0x0001A	0x1a, 0x1492b                        ; [0x1a:1]=0
0x14937	jnb	0x1493C	acc.7, 0x1493c                       ; [0xe0:1]=0
0x1493E	jnc	0x149B9	0x149b9
0x14945	jnb	0x14949	acc.7, 0x14949                       ; [0xe0:1]=0
0x1494C	sjmp	0x1495B	0x1495b
0x14951	jz	0x14919	0x14919
0x14960	jnb	0x14964	acc.7, 0x14964                       ; [0xe0:1]=0
0x14967	djnz	0x0001A	0x1a, 0x1496e                        ; [0x1a:1]=0
0x1496A	jb	0x00027	0x27.6, 0x1496e                      ; [0x27:1]=0
0x1497B	jz	0x14990	0x14990
0x1497D	jb	0x14987	acc.7, 0x14987                       ; [0xe0:1]=0
0x14985	sjmp	0x149A9	0x149a9
0x14995	jz	0x1499E	0x1499e
0x1499C	sjmp	0x149A9	0x149a9
0x1499E	jnb	0x00027	0x27.6, 0x149a4                      ; [0x27:1]=0
0x149A6	ljmp	0x14805	0x14805
0x149AC	sjmp	0x14972	0x14972
0x149B1	jz	0x14951	0x14951
0x149C1	jb	0x00027	0x27.6, 0x149c6                      ; [0x27:1]=0
0x149C4	jz	0x149C7	0x149c7
0x149D9	jb	0x00027	0x27.6, 0x149de                      ; [0x27:1]=0
0x149DC	jz	0x149E1	0x149e1
0x149E3	cjne	0x0001A	a, 0x1a, 0x149ce                     ; [0x1a:1]=0
0x149F1	jnb	0x149F8	acc.7, 0x149f8                       ; [0xe0:1]=0
0x14A0D	ljmp	0x14805	0x14805
0x14A12	sjmp	0x14A16	0x14a16
0x14A1A	sjmp	0x14A24	0x14a24
0x14A20	sjmp	0x14A26	0x14a26
0x14A31	jb	0x00027	0x27.2, 0x14a47                      ; [0x27:1]=0
0x14A3A	jnb	0x00027	0x27.1, 0x14a47                      ; [0x27:1]=0
0x14A4D	jnc	0x14A62	0x14a62
0x14A51	jnb	0x00027	0x27.1, 0x14a5a                      ; [0x27:1]=0
0x14A5A	jb	0x00027	0x27.2, 0x14a60                      ; [0x27:1]=0
0x14A68	jnz	0x14A76	0x14a76
0x14A72	jnz	0x14A67	0x14a67
0x14A74	sjmp	0x14A8D	0x14a8d
0x14A87	jc	0x14A8B	0x14a8b
0x14A8B	djnz	0x14A76	r0, 0x14a76
0x14A8E	jnb	0x00027	0x27.2, 0x14a96                      ; [0x27:1]=0
0x14AA3	jnz	0x14A67	0x14a67
0x14AAF	jb	0x00027	0x27.2, 0x14ab6                      ; [0x27:1]=0
0x14ABF	djnz	0x14AAD	b, 0x14aad                           ; [0xf0:1]=0
0x14AC2	ljmp	0x14805	0x14805
0x14AED	djnz	0x14B3F	r7, 0x14b3f
0x14AF6	ajmp	0x14D2B	0x14d2b
0x14AFD	jb	0x00029	0x29.3, 0x14aca                      ; [0x29:1]=0
0x14B05	jbc	0x00027	0x27.1, 0x14b0b                      ; [0x27:1]=0
0x14B1E	ljmp	0x13E1F	0x13e1f
0x14B25	jb	0x00027	0x27.4, 0x14b3c                      ; [0x27:1]=0
0x14B28	jnb	0x00027	0x27.6, 0x14b34                      ; [0x27:1]=0
0x14B2B	cjne	0x00010	r1, #0x10, 0x14b30
0x14B30	cjne	0x00008	r1, #0x08, 0x14b34
0x14B36	jb	0x00027	0x27.7, 0x14b3b                      ; [0x27:1]=0
0x14B39	jnc	0x14B3C	0x14b3c
0x14B3C	jb	0x00027	0x27.3, 0x14ba5                      ; [0x27:1]=0
0x14B41	cjne	0x00019	a, 0x19, 0x14b44                     ; [0x19:1]=0
0x14B44	jnc	0x14B78	0x14b78
0x14B4A	jnb	0x00027	0x27.4, 0x14b64                      ; [0x27:1]=0
0x14B55	jnc	0x14B64	0x14b64
0x14B62	sjmp	0x14B73	0x14b73
0x14B64	jnb	0x00027	0x27.6, 0x14b6a                      ; [0x27:1]=0
0x14B6D	jnb	0x00027	0x27.6, 0x14b73                      ; [0x27:1]=0
0x14B75	cjne	0x00019	a, 0x19, 0x14b46                     ; [0x19:1]=0
0x14B78	jnb	0x00027	0x27.6, 0x14b92                      ; [0x27:1]=0
0x14B7D	cjne	0x00010	r1, #0x10, 0x14b8c
0x14B85	jnb	0x00027	0x27.5, 0x14b8f                      ; [0x27:1]=0
0x14B8A	sjmp	0x14B8F	0x14b8f
0x14B8C	cjne	0x00008	r1, #0x08, 0x14b92
0x14B92	jnb	0x00027	0x27.3, 0x14b9a                      ; [0x27:1]=0
0x14B97	ljmp	0x147CB	0x147cb
0x14B9C	jb	0x00028	0x28.1, 0x14b97                      ; [0x28:1]=0
0x14BA1	jb	0x00027	0x27.7, 0x14b97                      ; [0x27:1]=0
0x14BA7	sjmp	0x14B78	0x14b78
0x14BAB	cjne	0x00007	a, #0x07, 0x14bae
0x14BAE	jnc	0x14BBB	0x14bbb
